reward
26.0
19.0
21.0
17.0
29.0
21.0
22.0
26.0
25.0
38.0
39.0
15.0
45.0
13.0
10.0
47.0
23.0
11.0
35.0
37.0
32.0
39.0
15.0
8.0
23.0
16.0
14.0
20.0
13.0
18.0
55.0
16.0
24.0
18.0
14.0
13.0
16.0
22.0
25.0
19.0
15.0
17.0
25.0
11.0
17.0
18.0
68.0
33.0
27.0
24.0
18.0
24.0
11.0
24.0
21.0
12.0
33.0
11.0
11.0
34.0
45.0
31.0
45.0
19.0
52.0
10.0
10.0
24.0
15.0
12.0
33.0
30.0
10.0
30.0
22.0
35.0
39.0
14.0
34.0
13.0
11.0
41.0
34.0
30.0
14.0
30.0
21.0
25.0
12.0
66.0
35.0
47.0
36.0
30.0
12.0
51.0
46.0
12.0
26.0
10.0
60.0
26.0
21.0
17.0
16.0
32.0
9.0
21.0
25.0
17.0
20.0
34.0
34.0
24.0
38.0
17.0
33.0
22.0
26.0
11.0
21.0
84.0
35.0
50.0
28.0
19.0
24.0
13.0
15.0
14.0
31.0
12.0
19.0
19.0
29.0
42.0
44.0
13.0
15.0
94.0
41.0
21.0
18.0
13.0
21.0
12.0
37.0
36.0
22.0
28.0
9.0
36.0
34.0
17.0
30.0
17.0
50.0
39.0
17.0
72.0
31.0
19.0
20.0
8.0
32.0
13.0
25.0
15.0
18.0
65.0
12.0
24.0
55.0
50.0
67.0
23.0
15.0
13.0
24.0
14.0
33.0
26.0
32.0
67.0
61.0
19.0
39.0
17.0
12.0
29.0
31.0
63.0
15.0
49.0
71.0
10.0
23.0
13.0
32.0
28.0
37.0
44.0
57.0
26.0
36.0
36.0
29.0
28.0
22.0
17.0
43.0
71.0
42.0
30.0
41.0
112.0
15.0
16.0
34.0
57.0
60.0
69.0
39.0
58.0
18.0
55.0
20.0
46.0
18.0
16.0
9.0
67.0
48.0
23.0
35.0
20.0
33.0
63.0
61.0
103.0
111.0
40.0
32.0
57.0
28.0
14.0
14.0
60.0
29.0
11.0
26.0
30.0
33.0
49.0
23.0
46.0
29.0
32.0
59.0
34.0
11.0
10.0
36.0
57.0
23.0
33.0
34.0
31.0
18.0
28.0
37.0
23.0
75.0
39.0
22.0
47.0
22.0
18.0
43.0
33.0
23.0
92.0
90.0
60.0
138.0
85.0
76.0
143.0
58.0
128.0
13.0
21.0
38.0
23.0
43.0
56.0
68.0
121.0
28.0
74.0
52.0
34.0
21.0
115.0
29.0
66.0
30.0
37.0
16.0
65.0
77.0
57.0
32.0
24.0
47.0
69.0
111.0
66.0
27.0
118.0
51.0
24.0
59.0
14.0
45.0
13.0
16.0
40.0
34.0
65.0
51.0
12.0
57.0
59.0
41.0
33.0
26.0
141.0
38.0
113.0
62.0
19.0
19.0
32.0
11.0
122.0
16.0
48.0
101.0
14.0
37.0
85.0
14.0
17.0
91.0
61.0
18.0
132.0
21.0
110.0
27.0
54.0
35.0
21.0
15.0
18.0
140.0
25.0
17.0
34.0
69.0
13.0
35.0
81.0
38.0
16.0
32.0
48.0
40.0
41.0
22.0
43.0
35.0
31.0
24.0
16.0
25.0
38.0
20.0
33.0
48.0
25.0
72.0
36.0
56.0
19.0
25.0
89.0
21.0
28.0
45.0
13.0
30.0
31.0
83.0
41.0
18.0
16.0
44.0
17.0
81.0
23.0
14.0
26.0
39.0
176.0
60.0
43.0
94.0
15.0
46.0
55.0
52.0
84.0
61.0
13.0
37.0
65.0
113.0
96.0
45.0
60.0
26.0
20.0
121.0
43.0
44.0
155.0
30.0
66.0
142.0
22.0
111.0
42.0
53.0
137.0
16.0
31.0
90.0
20.0
93.0
20.0
135.0
33.0
45.0
53.0
75.0
43.0
119.0
218.0
43.0
88.0
43.0
69.0
45.0
91.0
47.0
122.0
65.0
31.0
60.0
159.0
168.0
33.0
212.0
46.0
13.0
19.0
89.0
77.0
106.0
35.0
78.0
85.0
166.0
37.0
17.0
56.0
17.0
31.0
24.0
20.0
38.0
103.0
67.0
120.0
48.0
30.0
103.0
91.0
37.0
13.0
39.0
54.0
89.0
15.0
100.0
20.0
111.0
37.0
39.0
22.0
51.0
38.0
49.0
82.0
66.0
50.0
210.0
100.0
76.0
41.0
66.0
10.0
99.0
64.0
38.0
39.0
21.0
27.0
35.0
16.0
61.0
79.0
16.0
119.0
33.0
16.0
17.0
144.0
63.0
76.0
53.0
45.0
15.0
13.0
31.0
51.0
39.0
28.0
69.0
40.0
136.0
84.0
11.0
97.0
161.0
109.0
39.0
82.0
78.0
78.0
23.0
107.0
112.0
131.0
115.0
55.0
91.0
54.0
48.0
69.0
111.0
28.0
41.0
56.0
59.0
103.0
102.0
119.0
159.0
57.0
89.0
34.0
123.0
88.0
40.0
53.0
73.0
124.0
120.0
82.0
155.0
59.0
135.0
80.0
138.0
108.0
104.0
137.0
197.0
118.0
62.0
77.0
201.0
63.0
123.0
37.0
130.0
20.0
169.0
85.0
76.0
72.0
60.0
51.0
55.0
45.0
109.0
34.0
18.0
75.0
102.0
59.0
107.0
214.0
53.0
32.0
44.0
142.0
113.0
21.0
104.0
67.0
105.0
112.0
42.0
93.0
117.0
14.0
23.0
48.0
98.0
102.0
36.0
72.0
41.0
102.0
92.0
139.0
124.0
74.0
32.0
59.0
98.0
106.0
95.0
142.0
122.0
178.0
186.0
54.0
13.0
30.0
101.0
67.0
136.0
30.0
72.0
98.0
130.0
93.0
172.0
91.0
120.0
106.0
50.0
116.0
77.0
39.0
23.0
37.0
80.0
30.0
141.0
24.0
30.0
70.0
44.0
57.0
41.0
64.0
